Id,reference
0,27.543827
1,19.614367
2,22.329086
3,18.515616
4,5.578766
5,4.743647
6,1.863798
7,4.18866
8,13.799617
9,15.49841
10,7.546892
11,3.559141
12,3.084281
13,13.688373
14,13.871731
15,4.361174
16,5.114634
17,8.402212
18,5.607488
19,10.443139
20,5.901461
21,8.600475
22,2.616979
23,10.616501
24,8.213441
25,21.112867
26,11.840023
27,14.839922
28,2.202784
29,12.463589
30,12.862356
31,13.992282
32,12.840599
33,2.500392
34,15.390615
35,12.298079
36,14.249822
37,14.611531
38,31.861585
39,32.522484
40,33.466322
41,33.62416
42,20.690678
43,32.927673
44,14.648603
45,31.904003
46,18.96752
47,20.269735
48,33.303203
49,20.373879
50,32.628517
51,34.284779
52,33.135488
53,35.468146
54,33.951908
55,20.365539
56,35.760129
57,34.540088
58,17.578739
59,33.177095
60,34.795883
61,36.020754
62,22.222581
63,21.588339
64,21.832699
65,31.422298
66,16.365683
67,22.111719
68,15.575156
69,15.854369
70,22.302025
71,15.259227
72,16.976082
73,31.63481
74,31.549079
75,15.275024
76,14.986082
77,18.032828
78,20.734512
79,20.969033
80,18.818208
81,16.20576
82,23.231965
83,29.994564
84,20.809967
85,24.504204
86,20.550237
87,20.972623
88,24.911705
89,23.966864
90,20.644335
91,24.639303
92,19.336088
93,30.7671
94,34.922227
95,20.972064
96,31.463581
97,18.111147
98,35.931091
99,16.153076
100,17.010321
101,35.978233
102,21.932339
103,20.459835
104,20.978852
105,20.486744
106,20.156976
107,15.771131
108,20.333076
109,17.433064
110,36.578333
111,21.095049
112,14.853502
113,19.399653
114,20.488223
115,20.975043
116,13.228942
117,19.079292
118,17.180553
119,19.2072
120,33.218012
121,18.986635
122,19.442426
123,24.073721
124,20.246107
125,23.521588
126,20.975509
127,12.884744
128,24.16003
129,21.037363
130,14.309798
131,13.994483
132,18.60205
133,30.112515
134,25.633577
135,18.190296
136,20.257413
137,17.469236
138,13.270096
139,22.968388
140,22.359335
141,28.343828
142,14.756969
143,14.536245
144,25.829406
145,14.287284
146,13.41671
147,22.382546
148,14.154661
149,14.843663
150,25.61008
151,33.122753
152,27.247041
153,16.188543
154,29.002763
155,36.610879
156,13.541514
157,12.575914
158,16.353067
159,15.68775
160,39.162607
161,37.554199
162,25.795768
163,38.183558
164,36.301101
165,38.695164
166,39.313409
167,23.608877
168,26.2236
169,22.194882
170,38.607057
171,23.330445
172,18.333338
173,22.66466
174,22.303451
175,18.483434
176,24.024311
177,36.883082
178,26.698078
179,35.756577
180,26.858114
181,35.9467
182,27.478955
183,35.012075
184,27.275552
185,37.421912
186,28.226506
187,26.964517
188,27.317787
189,38.914803
190,29.897383
191,29.684589
192,37.876155
193,35.85322
194,37.739711
195,33.714189
196,33.971255
197,30.410308
198,45.544727
199,41.76461
200,41.632601
201,30.504534
202,41.936386
203,24.066074
204,23.426521
205,28.497309
206,31.885011
207,32.970801
208,31.217003
209,31.419952
210,24.23211
211,23.586433
212,30.217118
213,34.84636
214,23.154246
215,25.760895
216,20.510249
217,41.142898
218,30.965745
219,43.76036
220,33.611072
221,30.875598
222,29.387455
223,27.625002
224,42.690166
225,29.148779
226,29.866663
227,34.106564
228,43.704307
229,31.246039
230,31.039544
231,24.530308
232,29.409948
233,22.682847
234,24.382621
235,30.204753
236,26.02186
237,29.443257
238,19.928554
239,39.88641
240,42.42459
241,23.582823
242,30.561574
243,28.002477
244,26.124243
245,30.309133
246,32.016326
247,29.526813
248,24.795782
249,24.225019
250,25.255731
251,31.353673
252,28.578919
253,20.573264
254,24.454969
255,42.643086
256,33.199448
257,30.135575
258,43.184001
259,41.240307
260,42.041405
261,23.293741
262,27.328462
263,26.678156
264,43.805827
265,27.798302
266,41.374168
267,44.224721
268,27.407273
269,22.932335
270,20.686105
271,24.705884
272,41.993074
273,24.796844
274,40.886605
275,35.256655
276,27.122388
277,27.575364
278,24.625642
279,28.261696
280,25.486625
281,36.503348
282,26.772019
283,24.188374
284,21.308279
285,27.817803
286,22.059091
287,27.772769
288,38.361237
289,35.868526
290,36.996479
291,36.856425
292,42.651922
293,38.093032
294,40.146518
295,33.957023
296,41.055023
297,30.393587
298,36.412072
299,32.452257
300,40.6328
301,39.243664
302,40.060976
303,36.865301
304,31.265302
305,14.637008
306,15.154358
307,14.998438
308,16.207795
309,14.734006
310,14.458206
311,16.897001
312,14.912379
