Id,reference
0,26.306869
1,18.506942
2,21.310823
3,17.594474
4,5.574657
5,5.05341
6,2.744202
7,4.669477
8,13.579638
9,14.964437
10,7.390235
11,3.693504
12,3.525474
13,13.56606
14,13.875344
15,4.889593
16,5.245537
17,8.22425
18,5.658137
19,10.249429
20,6.21027
21,8.770997
22,3.137413
23,10.498166
24,8.357381
25,20.23169
26,11.739455
27,14.845179
28,2.626034
29,12.28695
30,12.126753
31,13.406146
32,12.26364
33,2.746338
34,14.910005
35,12.066993
36,13.863561
37,14.323507
38,33.768036
39,34.765918
40,35.521576
41,35.774322
42,19.773768
43,35.030501
44,15.407978
45,33.774343
46,19.614695
47,19.974573
48,35.163793
49,18.678615
50,34.110147
51,33.808048
52,33.96518
53,34.83644
54,32.933901
55,19.931826
56,34.979533
57,34.044113
58,16.439199
59,33.788815
60,34.460534
61,35.374701
62,22.428453
63,21.935252
64,22.197473
65,31.986063
66,17.314574
67,22.789264
68,16.533215
69,16.539425
70,22.86499
71,16.263713
72,17.864667
73,31.759958
74,32.069047
75,16.056008
76,15.85944
77,18.662203
78,21.126702
79,21.316705
80,19.360574
81,17.007023
82,23.309566
83,30.024736
84,20.505542
85,24.496461
86,19.245364
87,20.767647
88,24.899867
89,23.928547
90,20.363136
91,24.628071
92,19.035123
93,30.841806
94,34.913366
95,19.603964
96,31.417503
97,17.83753
98,35.672751
99,15.815137
100,16.646857
101,35.372867
102,21.331679
103,19.229209
104,20.546999
105,20.064972
106,19.93789
107,15.684222
108,20.250573
109,17.140921
110,35.989104
111,20.49591
112,14.513831
113,18.457392
114,19.985617
115,20.920084
116,13.0027
117,18.931077
118,16.733338
119,19.019606
120,32.680742
121,18.76987
122,19.176696
123,23.978005
124,19.633881
125,23.324753
126,20.57719
127,12.712964
128,24.167511
129,20.540926
130,13.793658
131,13.722848
132,17.778062
133,29.670487
134,25.682974
135,17.484524
136,19.675524
137,18.003779
138,13.11267
139,23.14604
140,22.677884
141,28.11708
142,15.19691
143,15.168637
144,26.055239
145,15.382767
146,14.611173
147,21.818985
148,15.204257
149,15.831951
150,25.867105
151,33.265407
152,27.59131
153,16.97048
154,29.393458
155,36.197385
156,14.36071
157,13.401479
158,16.103933
159,15.396456
160,38.447699
161,36.75892
162,25.898343
163,37.298596
164,35.309042
165,37.962067
166,38.533302
167,23.12335
168,25.895907
169,21.377694
170,38.069497
171,22.518945
172,17.879582
173,21.876688
174,21.636283
175,17.714345
176,23.308361
177,36.03646
178,27.053054
179,35.756663
180,26.198132
181,35.197796
182,26.941636
183,35.092751
184,28.284247
185,36.064222
186,29.314814
187,27.851495
188,28.119703
189,37.009457
190,30.910853
191,30.359072
192,36.08292
193,34.555227
194,36.149688
195,32.303528
196,32.171189
197,30.836874
198,46.156666
199,43.834798
200,43.734649
201,31.092849
202,43.922524
203,26.933954
204,25.993971
205,30.965667
206,33.531552
207,34.641523
208,31.55321
209,31.883845
210,26.910985
211,26.158371
212,31.986824
213,36.588102
214,22.424455
215,24.770886
216,19.941198
217,39.765888
218,31.124809
219,45.898318
220,33.839065
221,31.577864
222,31.816794
223,30.184186
224,44.754437
225,31.473165
226,31.612912
227,36.173605
228,45.763375
229,31.732234
230,32.760765
231,24.011724
232,31.773139
233,21.746459
234,26.903981
235,32.681029
236,25.146369
237,31.731636
238,19.157253
239,41.545275
240,44.585446
241,22.717099
242,32.894795
243,30.563267
244,28.419591
245,31.027761
246,32.476423
247,31.58542
248,25.909226
249,25.416016
250,27.470675
251,31.959432
252,30.898842
253,19.763255
254,25.709524
255,44.784626
256,33.27541
257,32.115502
258,44.968822
259,43.812959
260,44.530006
261,23.3074
262,29.276558
263,28.814871
264,46.267478
265,29.594311
266,44.031636
267,46.494231
268,29.41831
269,23.096479
270,19.872686
271,26.228338
272,44.659899
273,24.47701
274,39.855148
275,36.376509
276,26.769046
277,27.276616
278,24.305388
279,29.821222
280,25.087891
281,37.579404
282,28.433389
283,23.992682
284,20.876502
285,29.395475
286,21.103253
287,29.368606
288,37.636245
289,37.068891
290,36.275309
291,37.051564
292,41.64651
293,36.589958
294,39.030508
295,33.289022
296,39.62752
297,29.222559
298,35.34001
299,31.548382
300,39.174193
301,37.761302
302,38.913019
303,35.508235
304,30.457985
305,14.450291
306,15.632413
307,15.23796
308,16.326117
309,14.865637
310,14.627087
311,17.182338
312,15.081342
313,17.287071
314,14.650324
315,15.540295
316,14.765781
317,13.804637
318,10.849987
319,15.374043
320,9.508567
321,13.992365
322,18.457283
323,16.700499
324,15.577435
325,12.959838
